numbers n*k + r, min element that can be expressed in m ways
(78, 40, 9562840, 3)
(78, 52, 0, 0)
(78, 66, 6389280, 4)
(79, 1, 18051264, 3)
(80, 1, 33706881, 3)
(80, 16, 32413696, 5)
(80, 65, 27680625, 4)
(81, 1, 15611050, 3)
(82, 1, 1488465, 2)
(82, 41, 0, 0)
(82, 42, 6364800, 3)
(83, 1, 28416960, 3)
(84, 1, 60483865, 3)
(84, 21, 1935549, 3)
(84, 28, 1466080, 3)
(84, 36, 9300096, 4)
(84, 49, 9300445, 3)
(84, 57, 7818525, 3)
(84, 64, 29660800, 4)
(85, 1, 957696, 2)
(85, 35, 12540000, 4)
(85, 51, 35629076, 4)
(86, 1, 890445, 2)
(86, 43, 0, 0)
(86, 44, 137088000, 4)
(87, 1, 819280, 2)
(87, 30, 8101296, 3)
(87, 58, 0, 0)
(88, 1, 2367729, 2)
(88, 33, 4789785, 3)
(88, 56, 5241600, 5)
(89, 1, 14217840, 3)
(90, 1, 909181, 2)
(90, 10, 15558400, 4)
(90, 36, 3487536, 3)
(90, 45, 0, 0)
(90, 46, 28838656, 3)
(90, 55, 11974375, 3)
(90, 81, 3124251, 3)
(91, 1, 61378500, 3)
(91, 14, 25069968, 4)
(91, 78, 5911620, 3)
(92, 1, 1086705, 2)
(92, 24, 66512160, 4)
(92, 69, 0, 0)
(93, 1, 1250200, 2)
(93, 31, 1797070, 3)
(93, 63, 3274128, 3)
(94, 1, 1062765, 2)
(94, 47, 0, 0)
(94, 48, 11995200, 4)
(95, 1, 26185896, 3)
(95, 20, 4712400, 3)
(95, 76, 2590536, 3)
(96, 1, 5396545, 2)
(96, 33, 9965025, 3)
(96, 64, 0, 0)
(97, 1, 32484816, 3)
(98, 1, 1154637, 2)
(98, 49, 0, 0)
(98, 50, 16908480, 3)
(99, 1, 24356080, 3)
(99, 45, 21942900, 4)
(99, 55, 17164576, 4)
